Name,Title,Year,Toyline,Size,Brand
0-0-0,Doctor Aphra Comic Set 3-Pack,2018,The Vintage Collection,"3 3/4""",Hasbro
2-1B,Medical Droid,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
2-1B,Rebel Set 3-Pack,2011,The Vintage Collection,"3 3/4""",Hasbro
2-1B,Medical Droid,1997,The Power Of The Force,"3 3/4""",Hasbro
3T-RNE,Star Tours,2005,The Disney Collection,"3 3/4""",Hasbro
4-LOM,2-Pack With Zuckuss,2010,The Vintage Collection,"3 3/4""",Hasbro
4-LOM,The Empire Strikes Back,1997,The Power Of The Force,"3 3/4""",Hasbro
4-LOM,Thief And Bounty Hunter,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
4-LOM,Imperial Set I 3-Pack,2010,The Vintage Collection,"3 3/4""",Hasbro
4-LOM,The Empire Strikes Back,2010,The Vintage Collection,"3 3/4""",Hasbro
4A-7,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
501st Legion Trooper,Revenge Of The Sith,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
501st Legion Trooper,Revenge Of The Sith,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
8D8,Return Of The Jedi,1998,The Power Of The Force,"3 3/4""",Hasbro
A-Wing Pilot,With A-Wing Fighter,1997,The Power Of The Force,"3 3/4""",Hasbro
A-Wing Pilot,With A-Wing Fighter,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
A-Wing Pilot,With Red Squadron A-Wing Fighter,2019,SOLO: A Star Wars Story,"3 3/4""",Hasbro
Aayla Secura,Jedi Knight,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Aayla Secura,Revenge Of The Sith,2012,The Vintage Collection,"3 3/4""",Hasbro
Aayla Secura,Includes Flight Gear!,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Aayla Secura,Battle Of Geonosis,2008,Star Wars SAGA Series,"3 3/4""",Hasbro
Aayla Secura,Clone Wars,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Aayla Secura,Jedi Hologram Transmission,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
ACE-38,Star Tours Travel Agency 5-pack,2011,The Disney Collection,"3 3/4""",Hasbro
Achk Med-Beq,Coruscant Outlander Club,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Adi Gallia,The Phantom Menace,1999,The Episode 1 Collection,"3 3/4""",Hasbro
Adi Gallia,Jedi Council Set #3,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Admiral Ackbar,The Force Awakens,2016,The Force Awakens Collection,"3 3/4""",Hasbro
Admiral Ackbar,Return Of The Jedi,2016,"The Black Series 3.75""","3 3/4""",Hasbro
Admiral Ackbar,Return Of The Jedi,2010,The Vintage Collection,"3 3/4""",Hasbro
Admiral Ackbar,Battle Of Endor,1997,The Power Of The Force,"3 3/4""",Hasbro
Admiral Motti,Star Wars,2000,The Power Of The Force,"3 3/4""",Hasbro
Admiral Motti,Death Star Briefing 7-Pack,2006,The Saga Collection,"3 3/4""",Hasbro
Admiral Ozzel,Executor Assault,2004,Star Wars SAGA Series,"3 3/4""",Hasbro
Admiral Piett,The Empire Strikes Back,1998,The Power Of The Force,"3 3/4""",Hasbro
Admiral Raddus,Rogue One,2017,The Rogue One Collection,"3 3/4""",Hasbro
Admiral Thrawn,Star Wars Rebels,2016,The Rogue One Collection,"3 3/4""",Hasbro
Admiral Thrawn,Star Wars Rebels,2016,The Rogue One Collection,"3 3/4""",Hasbro
Admiral Thrawn,Comic 2-pack #9 - 2008,2008,The Legacy Collection,"3 3/4""",Hasbro
Admiral Thrawn,Expanded Universe,1998,The Power Of The Force,"3 3/4""",Hasbro
Aerial Recon Trooper,Anti-Hailfire Droid Squad,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Agen Kolar,Revenge Of The Sith,2009,The Legacy Collection,"3 3/4""",Hasbro
Agen Kolar,Jedi Master,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
