Name,Title,Year,Toyline,Brand,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,Jedi,Sith,Hero,Villain,BountyHunter,Neutral,OriginalTril,PrequelTril,SequelTril,Movies,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,classification,designation,average_height,skin_colors,hair_colors,eye_colors,average_lifespan,language,homeworld_species
Aayla Secura,Jedi Knight,2005,Revenge Of The Sith Collection,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aayla Secura,Revenge Of The Sith,2012,The Vintage Collection,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aayla Secura,Includes Flight Gear!,2012,The Clone Wars Collection,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aayla Secura,Battle Of Geonosis,2008,Star Wars SAGA Series,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aayla Secura,Clone Wars,2010,The Clone Wars Collection,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aayla Secura,Jedi Hologram Transmission,2005,Revenge Of The Sith Collection,Hasbro,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,1,0,1,0,0,0,0,1,0,2,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0,mammals,sentient,200.0,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",,Twi'leki,Ryloth
Adi Gallia,The Phantom Menace,1999,The Episode 1 Collection,Hasbro,184.0,50.0,none,dark,blue,Unknown,female,Coruscant,Tholothian,1,0,1,0,0,0,0,1,0,2,24.0,368.0,12240.0,temperate,1 standard,"cityscape, mountains",,1000000000000.0,mammal,sentient,,dark,,"blue, indigo",,,Tholoth
Adi Gallia,Jedi Council Set #3,2004,Original Trilogy Collection,Hasbro,184.0,50.0,none,dark,blue,Unknown,female,Coruscant,Tholothian,1,0,1,0,0,0,0,1,0,2,24.0,368.0,12240.0,temperate,1 standard,"cityscape, mountains",,1000000000000.0,mammal,sentient,,dark,,"blue, indigo",,,Tholoth
Admiral Ackbar,The Force Awakens,2016,The Force Awakens Collection,Hasbro,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0,0,1,0,0,0,1,0,0,2,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0,amphibian,sentient,160.0,"red, blue, brown, magenta",none,yellow,,Mon Calamarian,Mon Cala
Admiral Ackbar,Return Of The Jedi,2016,"The Black Series 3.75""",Hasbro,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0,0,1,0,0,0,1,0,0,2,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0,amphibian,sentient,160.0,"red, blue, brown, magenta",none,yellow,,Mon Calamarian,Mon Cala
Admiral Ackbar,Return Of The Jedi,2010,The Vintage Collection,Hasbro,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0,0,1,0,0,0,1,0,0,2,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0,amphibian,sentient,160.0,"red, blue, brown, magenta",none,yellow,,Mon Calamarian,Mon Cala
Admiral Ackbar,Battle Of Endor,1997,The Power Of The Force,Hasbro,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0,0,1,0,0,0,1,0,0,2,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0,amphibian,sentient,160.0,"red, blue, brown, magenta",none,yellow,,Mon Calamarian,Mon Cala
Admiral Ackbar,Return Of The Jedi,1982,Vintage Return Of The Jedi,Kenner,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0,0,1,0,0,0,1,0,0,2,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0,amphibian,sentient,160.0,"red, blue, brown, magenta",none,yellow,,Mon Calamarian,Mon Cala
Anakin Skywalker,With Naboo Star Skiff,2010,The Clone Wars Collection,Hasbro,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,1,0,1,0,0,0,0,1,0,3,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0,mammal,sentient,180.0,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
Anakin Skywalker,Cargo Of Doom,2009,The Clone Wars Collection,Hasbro,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,1,0,1,0,0,0,0,1,0,3,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0,mammal,sentient,180.0,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
Anakin Skywalker,With Desert Skiff,2010,The Clone Wars Collection,Hasbro,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,1,0,1,0,0,0,0,1,0,3,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0,mammal,sentient,180.0,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
Anakin Skywalker,Clone Wars,2008,The Clone Wars Collection,Hasbro,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,1,0,1,0,0,0,0,1,0,3,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0,mammal,sentient,180.0,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
Anakin Skywalker,Cold Weather Gear,2010,The Clone Wars Collection,Hasbro,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,1,0,1,0,0,0,0,1,0,3,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0,mammal,sentient,180.0,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
